PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,group,TotalSpending,Family Name,CabinDeck,CabinNumber,CabinSide,Related Family
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0001,0.0,Ofracculy,B,0.0,P,Ofracculy-0001
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,0002,147.2,Vines,F,0.0,S,Vines-0002
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,0003,2076.6,Susent,A,0.0,S,Susent-0003
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,0003,1035.2,Susent,A,0.0,S,Susent-0003
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,0004,218.2,Santantines,F,1.0,S,Santantines-0004
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,0005,154.8,Hinetthews,F,0.0,P,Hinetthews-0005
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,0006,316.8,Jacostaffey,F,2.0,S,Jacostaffey-0006
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0006,0.0,Jacostaffey,G,0.0,S,Jacostaffey-0006
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,0007,203.6,Beston,F,3.0,S,Beston-0007
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0008,0.0,Flatic,B,1.0,P,Flatic-0008
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0008,0.0,Flatic,B,1.0,P,Flatic-0008
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,0008,1631.4,Flatic,B,1.0,P,Flatic-0008
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,0009,261.8,Barne,F,1.0,P,Barne-0009
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,0010,161.8,Baketton,G,1.0,S,Baketton-0010
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,0011,200.6,Bertsontry,F,2.0,P,Bertsontry-0011
0012_01,Earth,False,F/391/S,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,0012,181.6,Pooles,F,391.0,S,Pooles-0012
0014_01,Mars,False,F/3/P,55 Cancri e,27.0,False,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,0014,281.6,Eccle,F,3.0,P,Eccle-0014
0015_01,Earth,False,F/4/P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,0015,127.6,Hughriend,F,4.0,P,Hughriend-0015
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,0016,0.0,Upead,F,5.0,P,Upead-0016
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,0017,0.0,Brighttt,G,0.0,P,Brighttt-0017
0017_02,Earth,False,F/6/P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,0017,218.4,Brighttt,F,6.0,P,Brighttt-0017
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,0020,0.0,Brantuarez,E,0.0,S,Brantuarez-0020
0020_02,Earth,True,E/0/S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,0020,0.0,Brantuarez,E,0.0,S,Brantuarez-0020
0020_03,Earth,True,E/0/S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,0020,0.0,Mcfaddennon,E,0.0,S,Mcfaddennon-0020
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,0020,0.0,Jacostanley,E,0.0,S,Jacostanley-0020
0020_05,Earth,True,E/0/S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,0020,0.0,Brantuarez,E,0.0,S,Brantuarez-0020
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,0020,0.0,Mcfaddennon,E,0.0,S,Mcfaddennon-0020
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,0024,0.0,Fullided,C,2.0,S,Fullided-0024
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,0025,244.6,Brookenson,F,6.0,S,Brookenson-0025
0026_01,Europa,False,C/0/P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,0026,1572.2,Unconary,C,0.0,P,Unconary-0026
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,0028,261.8,Mare,F,8.0,P,Mare-0028
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,0030,364.2,Morsentley,G,4.0,S,Morsentley-0030
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,0031,570.8,Datie,F,9.0,P,Datie-0031
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,0031,0.0,Datie,F,9.0,P,Datie-0031
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20.0,False,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True,0031,548.0,Datie,F,9.0,P,Datie-0031
0034_01,Europa,True,D/1/S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,0034,0.0,Oingwhedly,D,1.0,S,Oingwhedly-0034
0035_01,Mars,False,D/1/P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,0035,539.8,Butte,D,1.0,P,Butte-0035
0036_01,Earth,False,F/8/S,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,0036,192.2,Leodger,F,8.0,S,Leodger-0036
0038_01,Earth,False,F/10/S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,0038,671.0,Wheelez,F,10.0,S,Wheelez-0038
0039_01,Earth,True,G/1/P,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,0039,0.0,Batthewitt,G,1.0,P,Batthewitt-0039
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,0041,0.0,Moodsey,G,2.0,P,Moodsey-0041
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,0043,715.0,Cylistrand,B,3.0,P,Cylistrand-0043
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,0044,0.0,Coopelandez,G,3.0,P,Coopelandez-0044
0044_02,Earth,True,G/3/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,0044,0.0,Coopelandez,G,3.0,P,Coopelandez-0044
0044_03,Earth,True,G/3/P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,0044,0.0,Coopelandez,G,3.0,P,Coopelandez-0044
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,0045,242.8,Chmad,F,10.0,P,Chmad-0045
0045_02,Mars,True,F/10/P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,0045,0.0,Chmad,F,10.0,P,Chmad-0045
0050_01,Earth,False,E/1/S,55 Cancri e,35.0,False,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False,0050,158.0,Lancis,E,1.0,S,Lancis-0050
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,0051,323.6,Johnshines,E,2.0,S,Johnshines-0051
0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,0052,937.8,Hubbarton,G,6.0,S,Hubbarton-0052
0053_01,Earth,False,F/11/S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,0053,387.8,Hickerson,F,11.0,S,Hickerson-0053
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,0056,0.0,Tractive,A,1.0,S,Tractive-0056
